review	score
게임을안해서 타사 무선제품썼는데 자주 끊기고 산지 1년도 안되서 접속도 잘 안되길래 유선으로 구입했어요. 배송도 하루만에 오고 끊김없이 잘 되네요. 남자치고 손이 좀 작은편인데도 그립감도 좋고 무게감도 좋아요. 가성비 갑이네요.	5
배송사 바꿔주세요.6월 1일(토) 구매  ->  6월 3일(월) 배송시작 -> 6월 4일(화) 주거지 터미널 근처로 왔다가 갑자기 진주터미널로 입고  -> 6월 7일(금)까지 증발+ 판매자 고객센터 전화번호로 연락해도 안받습니다.++ 택배사도 안받습니다.+++ 문의 씹혔습니다.*마우스는 막 쓰기에 좋습니다. 클릭감이 무겁고 소리가 큰 편이라 광클이 필요한 게임, FPS 용으로는 부적합함.	3
게이밍 마우스를 돈주고 사다니 다*소 오천원짜리 마우스만 쓰던 사람입니다평소 마우스가 클릭만 잘 되면 된다고 생각해서그냥저냥 사용만 가능하면 된다고 생각했읍미다평소하던 게임이 아닌 고급시계 반값할인소식에알바비를 받은 저는 게임을 바로 구매했습미다아근데 사자마자 마우스가 고장나서리그때 평소처럼 다이*를 갈까 생각했지만그러기 싫었습니다나 월급받았눈데 월급받았눈데!?!?!?!?!?하며네이버 검색창에 [게이밍 마우스]를 검색했슴니다그러도니 얘가 바로 처음에 뜨더군여나름 후기도 찾아보고 애썼는데 얘가 제일 낫더군요그래사 구매했습미다어떤 차이가 있나 보려고여근데역시 5천원짜리랑 2만원짜리랑은갭차이가 줬나게 나는군여그립감도 다르고아그냥 다름 걍다름 개좋음살까말까 하시는붐들 구매하시길 바랍미다 후회안하실거임 ㄹㅇ	5
기존에도 같은 상품 사용하다가 왼쪽 마우스 버튼이 고장나서 새로 주문했습니다. 일요일에 주문해서 화요일 오후에 받았네요. 마우스 버튼 전부 잘 눌리고 작동 잘 됩니다. 개인적으로는 사이드 버튼이 좀 더 한 손에 쥐어졌으면 좋겠지만요. 	5
제 손에는 조금커서 조금 아쉬워요제손에 너무 잘맞는 마우스를 꽤 오래 쓰다가 오래되기도하고 노트북을 사느라 하나 장만했습니다. 확실히 문제는 없이 쓰고는 있는데왼쪽에 뒤로가기 버튼이 누르다보면 삐걱거리는데 조금 신경쓰이네요ㅠ클릭부분? 을 살짝 들어주면 한동안 괜찮다가 또나고 그부분이 좀 아쉬워요	4
가성비 좋은제품이며 사용하기 무난합니다. 전체적으로 디잔이도 무난하고 2만원도 하지 않는 가격에 구입할 수 있는 dps조절기능을 갖춘 게이밍 마우스라는 점이 제일 마음에 들지만 LED기능을 사용하게된다면 빛만 은은한게 아닌 손도 은은하게 따뜻하게 해주는 발열을 겸비하고 있습니다. 발열이라는 점을 제외하고는 마땅한 단점이 없는 가격, 기능, 디자인 면에서 모두 무난한 제품인것 같습니다. 배송은 삼일정도 소요되어 빠른 편도 긴편도 아닙니다. 잘 쓰겠습니다^^	4
러버를 주문했는데 멧이 왔네요.토요일에 택배 수령하고, 문의 전화 넣었는데 안받네요.급해서 그냥 사용합니다.15,000원 써있는 것 보고 구매했는데,구매하고 나니 13,000원대로 떨어지네요.급해서 그냥 사용합니다.마우스 왼쪽 버튼은 좀 둔탁한 소리가 나고,마우스 오른쪽 버튼은 경쾌한 소리가 나네요.급해서 그냥 쓰기로 합니다.마우스 왼쪽 옆 면이 살짝 들떠서,엄지를 댈 때마다 달그락 거리며 살짝 들어갔다 나왔다 하네요.급해서 쓴다 써~!!	1
게이밍 마우스 좋아요~ 마우스 쓴지 오래됐고 해서 이번에 게이밍 마우스 하나 살려고 인터넷에서 검색하다가 적당한 가격에살수 있는 맥스틸 마우스 구입했어요 묵직하고 무광, led까지 다 맘에 듭니다제가 손이 작은 편이라 조금 크긴 한데 그동도는 감수하고 쓸 수 있을것 같네요손작으신 분들은 잘 따져보고 사세요~~	5
그래서인지 클릭할 때 느낌도 다른 마우스에 비해 약한 것 같아 처음에는 어색하더군요.왜 DPI설정이 이렇게 많아야 하는지 이해할 수는 없는데 색을 바꿀 수 있는게 좋긴 합니다.저가형 마우스에서 가장 문제점인 드래그에 이상이 없어 마음에 드네요.물론 언제까지 지속되느냐가 문제겠죠.	5
이전에 쓰던 모델이 오래가서 또 같은걸로 구매했습니다 근데 옵션으로 게이밍마우스패드 함꼐 선택했는데 그건 안넣어주셨군요 안주실거면 목록을 만들어주지 마시지 왜 사람을 기대하게 만드십니까 덕분에 직접 만들었잖습니까 마우스는 좋으나 패드를 안주셔서 3저드립니다 맥스틸쓰세요	3
